"executionTime","stationBeanList__id","stationBeanList__stationName","stationBeanList__availableDocks","stationBeanList__totalDocks","stationBeanList__latitude","stationBeanList__longitude","stationBeanList__statusValue","stationBeanList__statusKey","stationBeanList__availableBikes","stationBeanList__stAddress1","stationBeanList__stAddress2","stationBeanList__city","stationBeanList__postalCode","stationBeanList__location","stationBeanList__altitude","stationBeanList__testStation","stationBeanList__lastCommunicationTime","stationBeanList__landMark"
"","3299","E 98 St & Park Ave","14","25","40.78813","-73.95206","In Service","1","11","E 98 St & Park Ave","","","","","","False","2019-11-28 05:23:14 AM",""
"","3300","Prospect Park West & 8 St","24","25","40.66514681533792","-73.97637605667114","In Service","1","1","Prospect Park West & 8 St","","","","","","False","2019-11-28 05:23:38 AM",""
"","3301","Columbus Ave & W 95 St","6","39","40.7919557","-73.968087","In Service","1","33","Columbus Ave & W 95 St","","","","","","False","2019-11-28 05:25:46 AM",""
"","3302","Columbus Ave & W 103 St","18","22","40.7969347","-73.9643412291","In Service","1","3","Columbus Ave & W 103 St","","","","","","False","2019-11-28 05:23:17 AM",""
"","3303","Butler St & Court St","13","25","40.6849894","-73.99440329","In Service","1","12","Butler St & Court St","","","","","","False","2019-11-28 05:24:20 AM",""
"","3304","6 Ave & 9 St","26","27","40.668127","-73.98377641","In Service","1","1","6 Ave & 9 St","","","","","","False","2019-11-28 05:25:43 AM",""
"","3305","E 91 St & 2 Ave","1","39","40.78112229934166","-73.94965589046478","In Service","1","38","E 91 St & 2 Ave","","","","","","False","2019-11-28 05:25:17 AM",""
"","3306","10 St & 7 Ave","23","23","40.6662078","-73.98199886","In Service","1","0","10 St & 7 Ave","","","","","","False","2019-11-28 05:24:17 AM",""
"","3307","West End Ave & W 94 St","7","31","40.7941654","-73.974124","In Service","1","24","West End Ave & W 94 St","","","","","","False","2019-11-28 05:23:32 AM",""
"","3308","Kane St & Clinton St","13","27","40.6861758","-73.99645295","In Service","1","14","Kane St & Clinton St","","","","","","False","2019-11-28 05:25:44 AM",""
"","3309","E 97 St & 3 Ave","4","30","40.7859201","-73.94860294","In Service","1","26","E 97 St & 3 Ave","","","","","","False","2019-11-28 05:24:10 AM",""
"","3310","14 St & 7 Ave","24","24","40.663779","-73.98396846","In Service","1","0","14 St & 7 Ave","","","","","","False","2019-11-28 05:25:46 AM",""
"","3311","Columbia St & Kane St","5","21","40.68763155","-74.0016256","In Service","1","16","Columbia St & Kane St","","","","","","False","2019-11-28 05:23:43 AM",""
"","3312","1 Ave & E 94 St","18","39","40.7817212","-73.94594","In Service","1","21","1 Ave & E 94 St","","","","","","False","2019-11-28 05:26:29 AM",""
"","3313","6 Ave & 12 St","27","29","40.6663181","-73.9854617","In Service","1","2","6 Ave & 12 St","","","","","","False","2019-11-28 05:26:10 AM",""
"","3314","W 95 St & Broadway","4","32","40.7937704","-73.971888","In Service","1","28","W 95 St & Broadway","","","","","","False","2019-11-28 05:25:43 AM",""
"","3315","Henry St & Degraw St","16","23","40.6847514","-73.99917254","In Service","1","7","Henry St & Degraw St","","","","","","False","2019-11-28 05:25:57 AM",""
"","3317","10 St & 5 Ave","24","24","40.6686273","-73.98700053","In Service","1","0","10 St & 5 Ave","","","","","","False","2019-11-28 05:25:22 AM",""
"","3318","2 Ave & E 96 St","5","39","40.7839636","-73.9471673","In Service","1","34","2 Ave & E 96 St","","","","","","False","2019-11-28 05:25:27 AM",""
"","3319","14 St & 5 Ave","10","21","40.666287","-73.98895053","In Service","1","11","14 St & 5 Ave","","","","","","False","2019-11-28 05:23:20 AM",""
"","3320","Central Park West & W 100 St","1","49","40.79406660818552","-73.96286845207214","In Service","1","48","Central Park West & W 100 St","","","","","","False","2019-11-28 05:24:07 AM",""
